Gene	Sendai Day 0 rep1	Sendai Day 0 rep2	Sendai Day 0 rep3	Sendai Day 7 rep1	Sendai Day 7 rep2	Sendai Day 7 rep3	Sapporo Day 0 rep1	Sapporo Day 0 rep2	Sapporo Day 0 rep3	Sapporo Day 7 rep1	Sapporo Day 7 rep2	Sapporo Day 7 rep3	Sapporo Day 31 rep1	Sapporo Day 31 rep2	Sapporo Day 31 rep3
NA_NA_LOC123745228	0	0	0	0	8.328171	0	0	47.533725	0	0	0	0	0	0	0
NA_NA_LOC123745241	10.439633	81.807881	1.017761	17.996301	41.009244	55.300153	0.97861	0.604637	0.756703	32.341612	458.055013	0.272124	6.693558	10.750351	9.991225
NA_NA_LOC123745244	0.32429	1.239904	0.373061	4.172221	7.580412	7.790431	0.397846	2.365215	0.410244	3.81587	0.679936	0.118598	6.632074	6.956119	10.536144
Set1_FBgn0040022_LOC123745248	0.24055	0.067108	0.075853	1.835032	2.59435	3.248954	0.034059	0.183498	0.091676	1.424439	0.322813	0	1.437673	1.377899	1.260253
eg_FBgn0000560_LOC123745271	0	0.647855	0	4.556905	12.326378	8.389597	0	0.192277	0	2.720057	0.692954	0	14.197565	8.765192	4.177078
knrl_FBgn0001323_LOC123745272	0.359071	0	0	0.727441	1.486627	1.232374	0	0.094043	0	0.341984	0	0	0.691675	0.670264	1.189443
UQCR-14L_FBgn0039576_LOC123745275	71.549196	154.847733	172.653959	140.167	108.948327	122.767011	51.642594	76.396103	247.798249	62.056395	55.312342	38.028769	42.177575	91.280256	56.433671
NA_NA_LOC123745284	0.228681	0.521152	0	1.385768	3.493268	2.107952	0	0.208354	0	2.694255	1.1264	0	5.70833	6.937329	5.017946
CG11836_FBgn0039272_LOC123745286	0	0	0	0.199395	1.483458	0.751592	0	0	0	0.189251	9.714868	0	0	0	0.273637
CG11836_FBgn0039272_LOC123745290	0.032101	0.146792	0	0.948711	5.828031	2.178512	0	0.24405	0	1.303854	0.058286	0.025634	0.335306	2.160964	2.813113
NA_NA_LOC123745295	0	0	0	0.571613	0.904344	1.334373	0	0.850573	0	0.748446	0	0	1.578742	15.583167	2.463181
CG8671_FBgn0032938_LOC123745301	0.481931	0.457659	0.160615	2.096191	5.989515	3.384886	0.051516	0.495317	0.473241	0.901298	1.048515	0.079334	7.821966	5.649164	1.91629
NA_NA_LOC123745312	0	1.596889	0	0	0.950738	1.272983	0.281968	0.254124	0.205185	0.497638	0.68477	0	0	0	0
NA_NA_LOC123745328	0.290561	4.780589	0.403332	7.829507	19.940134	13.139602	0.28244	1.71613	0.076944	6.214807	1.268311	0.248681	6.535582	4.932344	6.78629
trc_FBgn0003744_LOC123745329	1.63643	5.997612	2.292169	11.888234	17.226847	16.29009	0.896605	5.267104	1.098247	5.798173	4.628	0.841516	13.300047	26.88527	26.506214
NA_NA_LOC123745336	7.61832	96.795601	5.898111	368.638046	806.680757	919.690837	9.182643	7.533268	11.116729	167.328082	766.582573	2.430527	50.811867	60.961892	148.160024
Act5C_FBgn0000042_LOC123745344	101.246322	177.267859	90.476543	571.560574	1212.717981	1040.460967	41.837335	182.917921	115.921742	528.303069	952.079823	38.490061	691.648597	885.665858	564.683206
Nadsyn_FBgn0030512_LOC123745347	5.159076	2.074116	2.108335	3.857443	5.542162	2.524379	3.899897	26.764115	2.463736	3.725408	3.695925	3.907772	2.201115	2.35408	5.246364
CG14024_FBgn0031697_LOC123745360	0	1.053182	0	4.345492	38.444587	11.680712	0	0	0	0.308902	0.315944	0	0.836493	0.959833	1.863427
CG13318_FBgn0037627_LOC123745372	12.297508	16.705753	1.305731	28.215301	102.748822	107.30044	2.451226	11.812054	0.805257	53.740443	62.572026	0.526191	51.911317	62.670852	93.954735
pygo_FBgn0043900_LOC123745381	6.353976	1.793092	3.565411	1.365163	2.390454	2.42384	1.252256	7.860115	0.838002	1.740503	2.336064	0.910818	3.173881	1.974167	3.41318
NA_NA_LOC123745382	4.785359	5.902345	6.227457	3.247401	7.674487	6.76619	2.123125	15.986554	1.874925	4.449988	2.878061	0.835286	1.174911	1.922952	1.400821
NA_NA_LOC123745391	0	0	0	0	1.547221	0	0	13.890589	0	0	0	0	0	0	0
Ctr1C_FBgn0062411_LOC123745405	0.410026	3.458144	0.874882	13.604208	21.763239	24.222198	0.3027	1.231704	0.376808	13.824787	5.182966	0	40.347947	58.199811	23.118749
dl_FBgn0260632_LOC123745413	0.348851	0.156826	0.123302	1.066632	1.294908	1.579091	0	0.288908	0	0.790951	0.393511	0.038628	1.465537	1.605978	1.748454
His2A:CG33835_FBgn0053835_LOC123745416	5.747946	35.517407	6.405612	74.329996	95.637023	132.569753	2.097285	13.834765	13.106699	36.378864	5.94029	1.908999	164.932343	189.110496	123.727042
NA_NA_LOC123745424	0	0.171516	0.102559	3.386036	12.191846	14.013293	0	0.348465	0	1.565971	0	0	0.840815	0.695199	0.952655
Ctl1_FBgn0035523_LOC123745433	0.118107	0.246087	0	0.341568	0.508068	0.62423	0	0.160607	0	0.700215	0.052451	0	3.166354	7.908721	1.603772
Efa6_FBgn0051158_LOC123745435	5.311766	0.656171	2.283954	1.254612	1.224726	1.062629	1.798168	1.333292	1.859947	2.94166	4.043058	1.366569	0.933194	1.109495	1.231743
Ncc69_FBgn0036279_LOC123745438	0.399669	2.839415	0.603616	3.75495	9.752366	4.483781	0.428112	1.66322	0.897134	4.259105	8.946645	0.09641	7.962301	7.943034	6.263472
dpy_FBgn0053196_LOC123745477	2.503095	11.313138	0.285011	5.031398	19.181769	16.823034	0.287739	1.811946	0.291511	3.496536	13.018626	0	5.440686	4.505145	7.312466
rdgB_FBgn0003218_LOC123745506	0.281852	0.330436	0.137192	1.50036	4.158937	2.047452	0.118641	0.533311	0.185023	2.040365	1.586498	0.06481	4.324913	3.333958	5.918005
NA_NA_LOC123745514	0	0.375667	0	6.919943	15.643351	10.942222	0	0	0.2104	0.152302	10.974929	0	0.719355	0.265611	0.65935
NA_NA_LOC123745523	4.072893	3.336765	3.925425	1.406153	3.436707	3.385319	4.891323	5.848617	4.709664	6.8736	3.764097	2.783637	2.429074	3.885612	4.089789
sli_FBgn0264089_LOC123745526	0.64787	2.042791	0.274949	4.130168	4.161573	5.457713	0.262796	0.474251	0.348711	1.637845	0.463421	0.085753	4.069568	5.981986	3.066264
Hml_FBgn0029167_LOC123745537	0.264782	0.311025	0.406258	0.308276	1.415426	2.256817	0.158463	0.816063	0.047467	2.196302	0.846161	0.145394	0.04976	0.208798	0.14521
NA_NA_LOC123745540	0	0.410792	0.047555	0.739076	1.180775	0.963217	0.224878	20.454828	0.186063	0.322872	0.381198	0	0.354519	0.368078	0.111213
CG32369_FBgn0052369_LOC123745551	1.432312	2.542906	1.317368	7.933726	6.27777	7.121334	0.332221	1.135758	0.580262	4.185013	1.786421	0.349825	7.23072	6.336092	10.328662
Mhc_FBgn0264695_LOC123745565	1490.157675	211.733289	633.670336	245.051659	185.171793	332.712587	981.188889	331.898914	485.8596	1074.542014	790.230447	850.75147	188.035409	145.790366	494.376228
Mhc_FBgn0264695_LOC123745566	7851.561101	710.916719	3598.864079	311.603845	390.280315	1859.474544	5017.12027	3642.572097	2482.216205	8141.723183	6508.811879	4089.125674	167.070857	195.884173	1037.378836
Mhc_FBgn0264695_LOC123745567	20689.53437	1344.538251	8623.013581	552.949139	811.854001	3552.692132	11705.08548	4740.100264	4777.057016	15047.95735	12565.88582	10713.5898	319.25207	363.085386	1915.902613
Mhc_FBgn0264695_LOC123745571	176.814101	14.002494	61.166518	27.675673	16.082325	30.705211	64.638004	55.68523	40.953044	135.135478	106.68909	88.580208	43.940729	57.454097	53.350498
dyl_FBgn0066365_LOC123745576	0	0	0	0	2.203043	0.440192	0	16.501235	0	0	0	0	0.05825	0	0
Tl_FBgn0262473_LOC123745580	0.872192	2.828002	0.959048	10.997184	15.238221	16.241485	0.64992	2.730255	0.694748	7.311499	3.03767	0.12164	8.683475	11.050314	11.896979
CG42361_FBgn0259707_LOC123745585	0.458561	0.410948	0	0	0	0	0	0	0	0	0.551859	0	2.776288	2.042148	2.321984
NA_NA_LOC123745608	6.583256	35.313953	0.764092	98.408227	190.383321	134.143865	1.098126	26.063384	1.282551	56.38752	106.66423	1.591082	89.849595	84.46638	111.333816
NT5E-2_FBgn0050104_LOC123745619	0	0.142693	0	0.26068	1.356466	0.784081	0	0	0	0.227549	1.1737	0	0.216064	0.40447	0.271839
Achl_FBgn0033936_LOC123745621	32.360844	6.194848	1.86818	13.588388	36.580438	12.762839	12.797865	461.758825	11.098517	33.888229	342.084685	14.266123	20.418483	17.166145	40.323898
NA_NA_LOC123745626	1.686148	33.952994	49.338256	16.991326	21.699645	6.006247	0.642446	0.520887	92.670807	0.999816	1.867	0.156287	27.388088	21.966211	8.015006
RASSF8_FBgn0261986_LOC123745639	1.819843	0.125092	0.087753	2.536128	4.374546	3.762876	0	0.950649	0.136179	1.888122	1.428451	0	3.828915	4.078462	4.682603
chas_FBgn0263258_LOC123745641	0.534752	3.087589	0.114763	6.080219	12.973128	10.850142	0	1.196053	0.089876	3.967226	2.879396	0	9.637432	6.543685	7.038345
Burs_FBgn0038901_LOC123745647	0	25.335468	8.563585	16.742487	25.310305	6.442911	0	0	1.477285	0	0	0	25.012595	29.177961	10.987408
NA_NA_LOC123745662	0	0	0	0.619088	2.209827	1.238687	0	0.497294	0	1.423098	1.096681	0.062832	0.509071	1.179407	1.200164
mtgo_FBgn0259735_LOC123745667	1.690128	1.061392	0.778359	2.664236	7.36982	5.113609	0.854934	1.441784	0.81139	3.864742	1.756189	0.568928	9.688175	6.522902	7.779144
CG1461_FBgn0030558_LOC123745669	11.365209	30.186191	1.267814	48.384144	100.582865	100.409038	0.461687	9.391322	0.224226	34.207726	6.259435	0.199725	43.134339	22.097466	40.257747
Hml_FBgn0029167_LOC123745671	0.324605	0.499508	0.173445	0	2.080155	1.98808	0.217685	0.470068	0	0.610527	0.843198	0	11.098224	6.334493	1.231094
NA_NA_LOC123745682	0	0	0	0.517381	1.483381	0.833847	0	13.981233	0	0	1.358929	0	0.805609	0.602579	0.436425
NA_NA_LOC123745685	2.755102	55.456073	0.523675	106.310756	154.442392	145.496679	4.384998	3.70112	1.797836	34.097634	1.527815	0.684165	60.978772	48.934006	28.337322
NA_NA_LOC123745740	0	0	0	0.763729	2.618122	1.401961	0	0.079574	0	0	0	0	1.57672	1.876074	4.510894
SMSr_FBgn0052380_LOC123745757	1.350289	3.213539	2.088991	12.923201	17.809945	15.7426	1.379992	2.659937	1.78257	14.106073	6.55694	0.986488	17.166427	21.190237	15.873554
MRP_FBgn0032456_LOC123745766	2.185668	6.771439	3.077634	8.079023	14.967844	6.268189	4.009177	7.516877	5.280521	8.225761	1.578532	0.208485	3.164196	5.968706	7.45117
NA_NA_LOC123745772	0	0	0	0	2.419826	0.231509	0	12.467907	0	0	0	0	0.137665	0	0.103234
CG10283_FBgn0032681_LOC123745789	0.572427	1.499172	0.231047	3.305817	7.179652	5.22801	0.22107	0.516722	0.242748	2.469264	2.071863	0.063809	2.882698	4.584798	3.340084
Mco1_FBgn0032116_LOC123745791	0.098809	1.182794	0.056659	2.051709	3.772112	3.472389	0	0.830686	0	1.640207	0.266537	0	7.91285	24.250696	9.673875
ksr_FBgn0015402_LOC123745799	3.481293	2.773388	1.709814	5.691362	8.423719	7.655048	0.992827	1.904981	1.046558	3.959967	2.104301	0.447217	8.534549	9.074638	10.413868
NA_NA_LOC123745800	0	0	0	0	8.39359	0.669351	0	42.795555	0	0	0	0	0	0	0
NA_NA_LOC123745804	0	0.061491	0	0.262119	3.148019	1.897314	0	0.100834	0	0	622.268498	0	0.217257	6.262496	0.118093
NA_NA_LOC123745806	0	0	0	0	3.449561	0	0	16.493681	0	0	0	0	0	0	0
NA_NA_LOC123745818	0.156933	0	0	0.507957	0.50806	0.487232	0	0.142984	0.08676	0.834434	0.169575	0.103298	1.296889	4.057314	1.233662
Mgat1_FBgn0034521_LOC123745826	0	0.264369	0	3.330164	3.616167	5.029349	0	0.162532	0	1.754268	0	0	0.228746	0.80169	1.4444
NA_NA_LOC123745828	0.798524	20.819829	0.845519	65.318843	487.400615	181.038365	0.400194	6.887423	0.536968	16.900531	0.632996	0.083383	47.38037	63.061093	79.548964
NA_NA_LOC123745839	0.031915	0	0	0.604439	1.536215	1.08212	0	0.087233	0	0.452241	0.056979	0	0.454846	0.204179	0.341929
NA_NA_LOC123745846	0	0	0	0	4.863351	0.369969	0	35.867063	0	0.354083	0	0	0	0	0
svr_FBgn0004648_LOC123745847	0	0.838062	0	0.102684	0.690018	0.77866	0	0	0	0	0.271824	0.082964	1.132385	1.426739	1.933168
CG11584_FBgn0030541_LOC123745864	0	0	0	0	18.4893	0.614569	0	58.629478	0	0.096075	0	0	0	0.641373	0
CG8541_FBgn0035788_LOC123745867	0	0	0	0	2.749196	0.186879	0	28.643056	0	0	0	0	0	0	0
NA_NA_LOC123745868	8.068724	20.473068	0.316962	4.878771	5.969242	8.664517	0.404349	2.805791	0.795526	10.077732	119.535734	0.142899	3.556358	2.873646	4.099081
CG16935_FBgn0033883_LOC123745870	0.234903	5.38639	0.306695	2.081855	4.163071	2.214089	0.198225	0.695575	0.108004	0.208481	0.202317	0	8.659387	3.051822	4.228459
Gfrl_FBgn0262869_LOC123745882	4.710827	1.619183	5.020605	0.671335	1.075901	1.219721	1.678777	0.664898	3.744231	3.635704	3.595677	2.77466	1.72429	3.230869	1.854224
AQP_FBgn0033807_LOC123745886	79.881462	57.394114	86.457035	19.355495	12.23874	41.631539	78.202654	5.032461	113.8183	71.619204	20.768291	51.45769	49.39821	154.683125	67.449695
Col4a1_FBgn0000299_LOC123745903	0	0	0	0	4.788397	1.347974	0	0	0	0	0.215623	0	0	0	0
Col4a1_FBgn0000299_LOC123745904	0	6.345424	0	11.106058	28.669639	20.115605	0	0	0	3.48802	12.631702	0	12.185637	19.86659	9.263738
NA_NA_LOC123745982	0.861949	9.561997	0	0	0	0.406164	0	0	0	0	23.662792	0	0	0	0
NA_NA_LOC123745983	0	17.628344	0	0	0	0	0	0	0	0	106.4366	0	1.022292	0	0
NA_NA_LOC123745984	4.097371	10.878462	1.436268	1.24625	0	5.201143	0	0	0	1.091496	0	0	12.352321	7.189391	0.526501
Col4a1_FBgn0000299_LOC123745996	0	7.043754	7.839498	250.188044	545.970945	593.267612	0	0.094474	0	11.631324	36.852129	0	47.397406	69.311284	20.28025
Col4a1_FBgn0000299_LOC123745997	0	0.832868	0	11.431369	37.709008	27.965013	0	0	0	2.708107	8.568815	0	6.822177	10.877745	5.680412
Col4a1_FBgn0000299_LOC123745998	2.512826	163.620818	1.352945	447.548045	1188.666717	1003.351455	4.356846	1.306885	2.706939	70.984679	371.501897	0.753565	253.121281	426.858286	180.610709
Cpr73D_FBgn0036680_LOC123746042	0.841909	3.780628	0	0	0	0	0	0	0	0.166139	3.010407	0	0	0	0
Cat_FBgn0000261_LOC123746046	22.17557	188.761913	6.220083	52.830668	167.583124	149.470602	9.820933	31.657571	6.819927	50.180264	7.742578	3.38995	101.463266	127.802065	148.808493
l(1)G0320_FBgn0028327_LOC123746058	28.93861	11.489842	6.20575	30.472784	88.467786	54.001865	0.494386	18.360962	4.091882	12.537429	9.413541	2.092526	49.818342	53.975546	44.652563
Ms_FBgn0011581_LOC123746073	0	2.170367	1.530221	0.665276	23.316495	3.53983	0	0.58817	0	0	0	0	10.084039	17.536749	11.37654
AGBE_FBgn0053138_LOC123746078	8.671696	4.23714	3.261915	8.321329	6.120375	12.222742	1.426407	1.803026	1.756407	6.464314	0.494757	0.983795	20.316985	22.023389	14.331784
NA_NA_LOC123746118	0	2.28468	0	0.447132	0	0.779046	0	0.401349	0	0.391936	33.259584	0	0	0	0
PPO2_FBgn0033367_LOC123746130	0	416.246849	0	108.722089	471.852536	322.220766	2.125905	1.37222	2.944747	11.272493	0.800624	1.166228	0.683158	231.048263	19.49489
AP-1mu_FBgn0024833_LOC123746137	8.986324	14.076834	5.203985	11.48021	18.850822	14.331223	3.295161	45.634941	10.68673	10.06195	6.123499	4.787664	8.809262	9.829755	7.405622
Pxt_FBgn0261987_LOC123746141	2.69565	28.509424	1.994092	70.571023	143.03022	179.764967	1.027433	13.238659	0.187696	33.925551	26.173597	1.438773	46.752432	66.419284	107.744689
Pxt_FBgn0261987_LOC123746142	6.377943	51.822994	0.881867	62.905073	96.474336	141.108993	1.353022	6.600785	0	53.784283	15.932044	0.235704	74.802893	109.377649	105.234055
Pxt_FBgn0261987_LOC123746143	0.597678	1.351474	0	5.085372	7.031196	5.750049	0.024034	0.579067	0	6.438313	0.101699	0.046599	3.76626	8.909616	11.704243
inc_FBgn0025394_LOC123746150	0.376658	1.620842	0.2461	3.126409	3.111381	7.17815	0.342367	0.521098	0.536298	2.332022	0.478529	0.132848	4.836445	7.247588	4.938266
CenB1A_FBgn0039056_LOC123746153	0.32142	0.668847	0.205147	2.928982	10.589642	8.025546	0	1.169789	0	3.642627	2.577903	0	5.335325	5.47829	6.959531
NA_NA_LOC123746185	0	2.894859	0	0	0	0	0	0	0	0	329.035025	0	0	0	0
NA_NA_LOC123746186	0	25.643181	0	0	0	0.403476	0	0	0	0.262937	49.962965	0	0.998044	0.877058	1.139332
NA_NA_LOC123746188	0	23.386269	0	0	0	0	0	0	0.304211	0	25.091115	0	1.314337	0	0
NA_NA_LOC123746189	0	23.996485	0	0	0	0	0	0	0	0	17.054246	0	2.31752	0	0
NA_NA_LOC123746190	0	21.234326	0	0	0	0	0	0	0	0	13.983142	0	0.934684	0	0
Edg78E_FBgn0000551_LOC123746253	0	0.746591	0	1.140875	4.677142	0.780431	0	0	0	1.196052	155.322026	0	0	1.063443	0.288708
Cht10_FBgn0250907_LOC123746262	0	0.157181	0.016624	2.498601	141.118528	16.32847	0	0	0	0.050808	0	0.047106	0.48196	1.102363	0.923933
NA_NA_LOC123746288	0	1.965967	0	2.859857	5.489483	5.884602	0	0.480819	0	3.660502	2.28993	0	4.315171	4.135861	3.461078
Cpr11B_FBgn0030398_LOC123746301	0	1.519989	0.217906	0	0	0	0	0	0	0.288148	24.199224	0	0	0	0
CG8560_FBgn0035781_LOC123746311	0	0.212457	0	0.87717	60.657056	7.181571	0	0	0	0.090498	0	0	0.254358	0.482985	0.880372
SmydA-2_FBgn0036839_LOC123746316	163.295263	65.531864	62.433926	51.055244	28.033516	43.653275	103.015002	28.872581	64.551646	51.256149	13.964266	72.927416	17.836727	22.771998	22.281498
SmydA-2_FBgn0036839_LOC123746317	78.296665	36.888874	26.798725	15.844484	11.898011	36.178774	19.755705	638.466403	26.54046	21.863136	21.621496	17.650705	22.947667	27.383351	17.976723
Wnt6_FBgn0031902_LOC123746322	0	1.803191	0.220308	4.667594	4.600645	7.604729	0.139334	0.151576	0	1.470966	0.223882	0	2.442345	3.105732	3.617427
RpL12_FBgn0034968_LOC123746326	333.284762	518.425893	457.824859	560.371041	341.274345	333.285018	495.249663	983.28973	544.41251	424.063284	373.741198	516.621101	446.227561	431.145354	381.211223
CG7028_FBgn0027587_LOC123746329	4.41861	5.185376	3.530298	12.27134	15.367503	18.456236	1.371399	3.700101	1.319306	8.104555	4.354347	0.948759	15.695723	12.600494	16.526648
Pepck1_FBgn0003067_LOC123746334	2.760349	9.559978	0.638535	44.587068	65.99011	63.929615	0	4.361453	0.403657	65.846082	42.511878	7.035717	42.666739	62.458595	35.597153
Pepck1_FBgn0003067_LOC123746335	30.501058	157.904733	12.81432	380.830014	542.018215	406.226305	3.030042	57.175034	2.700973	424.229176	262.529988	59.062378	302.876683	228.487925	252.341309
Np_FBgn0265011_LOC123746341	0	0	0	0.321808	8.229777	1.530745	0	0	0	0	0	0	0	0	0.09543
REPTOR_FBgn0039209_LOC123746364	0.429172	0.872995	0.339512	39.272336	31.594673	49.706714	0.326298	3.242458	0.197722	27.28772	5.607319	1.048383	33.283543	23.687815	20.25125
PIG-O_FBgn0034346_LOC123746365	4.688592	2.063407	1.302547	3.60088	4.662019	5.058344	0.722622	1.873715	0.626057	2.487977	2.982282	0.533361	7.392667	21.281662	8.466766
NA_NA_LOC123746373	0	9.967691	0	0	0	0	0	0	0	0.290363	136.777635	0	0	0	0
NA_NA_LOC123746382	0	7.009829	0	0	0	0	0	0	0	0	215.972519	0	0	1.483086	0
NA_NA_LOC123746386	0	11.589208	0	2.872575	3.330375	1.69235	0	0	0	0	192.624966	0	2.421285	5.606159	1.835804
NA_NA_LOC123746390	0	0.765838	0	61.990801	54.156279	33.211069	0	1.788779	0	14.705323	1.383457	0.422603	43.661988	50.596419	60.323455
NA_NA_LOC123746391	0	0	0	64.159146	71.435608	38.926564	0	6.213847	0	19.477304	0.837743	0	206.740199	146.360601	304.206528
NA_NA_LOC123746392	0	92.370408	0	73.79681	58.210108	79.616903	0	1.567025	0	0.625674	15.501403	0	11.030205	6.69269	8.50047
NA_NA_LOC123746394	0	240.454065	0	95.269032	87.933436	85.839617	0	3.087939	0	0	118.73514	0	135.359286	107.235712	90.438692
NA_NA_LOC123746397	0	6.287268	0	68.187875	41.612092	71.392143	0	0.618594	0	19.281439	12.595246	2.446988	115.47209	88.635476	251.739207
NA_NA_LOC123746398	0	0	0	12.669637	8.616375	15.489277	0	0	0	2.394132	1.15867	0	10.764003	17.196488	10.88738
Rai1_FBgn0030793_LOC123746402	2.465626	0.619456	0.437307	0.517069	1.148232	1.625289	1.482052	1.14509	9.427732	1.884483	0.85634	2.164441	0.415773	1.175528	0.812488
NA_NA_LOC123746412	0.429402	4.282451	1.22024	14.684442	29.997268	19.633283	0.634461	1.561508	1.086002	10.570792	2.594975	0.165451	6.571442	14.854309	10.584133
svp_FBgn0003651_LOC123746514	0.295929	1.09564	0.29992	3.162182	8.578334	8.256041	0	0.391283	0.446336	7.669164	7.288325	1.664933	2.894083	2.081161	1.388446
dnc_FBgn0000479_LOC123746522	0.576013	1.829871	0.52593	9.228361	13.433249	7.753515	0.436463	0.846678	0.253252	4.550699	3.724742	0.227622	7.429441	11.348391	5.892911
CG7675_FBgn0038610_LOC123746532	1.193411	14.082599	0.718329	9.432737	13.476475	16.21053	0.292294	1.885745	0.985501	10.96679	4.979284	0.31041	10.596887	20.208982	9.080365
