FamilyID	Pmon<0>	Pchi<1>	<2>	Pvan<3>	Hame<4>	Pcla<5>	Ptri<6>	Esin<7>	<8>	Pjap<9>	<10>	<11>	<12>	<13>	<14>
FBgn0030676	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1
FBgn0039158	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
FBgn0038110	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FBgn0031359	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
FBgn0261067	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1
FBgn0259918	1	0	1	0	0	0	0	1	1	0	0	1	1	1	1
FBgn0039584	1	5	2	1	1	2	1	2	2	3	2	2	2	2	2
FBgn0037376	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
FBgn0037611	1	0	1	1	0	0	0	1	1	0	0	1	1	1	1
FBgn0031307	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1
FBgn0037540	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
FBgn0065108	1	1	1	3	2	0	1	1	1	1	1	1	1	1	1
FBgn0039112	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
FBgn0034707	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
FBgn0031040	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1
FBgn0035293	1	2	1	0	1	0	3	0	1	2	1	1	1	1	1
FBgn0031824	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
FBgn0031530	2	2	2	2	3	2	2	3	2	2	2	2	2	2	2
FBgn0031209	15	20	16	14	26	15	23	9	16	13	18	16	15	17	17
FBgn0086359	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1
FBgn0037751	0	2	2	4	1	1	0	0	2	2	1	0	2	1	1
FBgn0036318	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
FBgn0260386	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FBgn0036518	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1
FBgn0030554	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1
FBgn0263118	12	12	12	12	18	14	12	11	12	14	14	12	12	13	13
FBgn0264449	2	1	1	1	1	1	1	3	1	2	1	1	1	1	1
FBgn0029762	3	2	2	1	3	3	1	3	2	4	3	2	3	3	3
FBgn0032881	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
FBgn0031500	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2
FBgn0001108	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1
FBgn0039732	0	1	1	2	1	1	1	1	1	1	1	1	1	1	1
FBgn0031187	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
FBgn0003312	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1
FBgn0015400	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1
FBgn0032234	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1
FBgn0264895	3	2	3	3	3	3	3	3	3	4	3	3	3	3	3
FBgn0031414	2	1	2	1	1	3	2	2	2	3	2	2	2	2	2
FBgn0036063	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1
FBgn0039925	1	0	1	2	1	1	1	1	1	1	1	1	1	1	1
FBgn0029689	1	1	1	1	2	1	2	1	1	2	1	1	1	1	1
FBgn0036203	0	5	1	1	1	0	3	1	1	2	1	1	1	1	1
FBgn0020370	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FBgn0000395	2	1	1	1	4	6	2	3	1	1	4	3	1	3	3
FBgn0033741	1	1	1	1	3	2	2	3	1	1	2	2	1	2	2
FBgn0033657	3	2	3	4	3	3	2	4	3	5	3	3	3	3	3
FBgn0004556	2	1	2	2	1	1	1	1	2	1	1	1	2	1	1
FBgn0265190	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1
FBgn0085451	2	2	2	2	2	2	1	1	2	2	2	1	2	2	2
FBgn0260857	2	1	2	2	2	2	1	1	2	2	2	1	2	2	2
FBgn0004449	5	3	4	3	4	5	3	3	4	4	4	3	4	4	4
FBgn0020887	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1
FBgn0024360	2	1	2	2	2	2	1	2	2	2	2	2	2	2	2
FBgn0036940	2	0	1	1	4	6	3	3	1	1	4	3	1	3	3
FBgn0036686	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1
FBgn0034835	0	0	0	2	1	0	0	0	1	2	1	0	1	1	1
FBgn0262593	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
FBgn0033738	1	1	1	1	3	2	1	1	1	2	2	1	1	2	2
FBgn0037760	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1
FBgn0032727	2	2	2	0	0	1	2	1	2	2	1	1	2	1	1
FBgn0024191	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1
FBgn0053517	3	3	3	4	1	2	1	3	3	4	2	2	3	2	2
FBgn0085446	3	2	3	2	5	8	1	3	3	3	5	3	3	4	4
FBgn0260985	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1
FBgn0032136	11	12	12	15	16	8	8	13	13	15	12	11	13	12	12
FBgn0037315	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1
FBgn0035393	1	1	1	2	1	1	1	0	1	1	1	1	1	1	1
FBgn0000547	2	1	2	3	1	1	1	1	2	1	1	1	2	1	1
FBgn0000121	15	12	14	21	6	5	6	8	14	12	7	7	13	8	9
FBgn0039084	4	0	4	13	0	2	1	1	4	2	1	1	3	1	1
FBgn0001297	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2
FBgn0039741	0	1	1	2	1	1	1	1	1	1	1	1	1	1	1
FBgn0035101	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1
FBgn0010114	1	2	1	0	1	1	1	1	1	1	1	1	1	1	1
FBgn0038035	1	1	1	4	1	1	1	1	1	1	1	1	1	1	1
FBgn0040298	8	2	6	10	6	2	2	4	6	2	4	3	5	4	4
FBgn0250851	0	0	0	0	0	1	1	1	0	1	1	1	1	1	1
FBgn0000611	3	2	3	4	2	2	2	2	3	2	2	2	3	2	2
FBgn0005777	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1
FBgn0031384	0	1	1	1	3	1	1	1	1	2	1	1	1	1	1
FBgn0034271	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1
FBgn0037092	1	0	1	0	1	1	2	2	1	1	1	2	1	1	1
FBgn0039688	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
FBgn0004885	11	9	9	8	6	1	3	3	8	4	4	3	6	4	4
FBgn0025833	0	1	1	0	2	0	1	1	1	1	1	1	1	1	1
FBgn0038244	2	2	2	2	0	1	2	0	2	2	1	1	2	1	1
FBgn0040104	0	1	1	1	0	0	0	2	1	3	0	1	1	1	1
FBgn0027549	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
FBgn0001186	2	2	2	3	2	2	2	3	2	2	2	2	2	2	2
FBgn0032420	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
FBgn0003082	2	1	2	2	2	1	1	1	2	1	1	1	2	1	1
FBgn0032030	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
FBgn0039326	0	0	0	1	0	0	1	0	1	0	0	1	1	1	1
FBgn0004364	0	0	0	0	1	1	1	1	0	1	1	1	1	1	1
FBgn0266557	2	4	2	2	1	4	2	3	2	1	2	2	2	2	2
FBgn0023177	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
FBgn0030245	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1
FBgn0259745	2	2	2	1	1	3	2	3	2	1	2	2	2	2	2
FBgn0034788	3	3	3	3	3	3	4	5	3	4	3	4	3	3	3
FBgn0035111	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FBgn0039450	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
FBgn0031816	2	1	1	1	1	1	1	0	1	2	1	1	1	1	1
FBgn0000014	2	1	1	1	1	0	1	1	1	0	1	1	1	1	1
FBgn0003174	2	2	2	2	2	2	2	4	2	2	2	2	2	2	2
FBgn0016081	2	2	2	2	4	3	1	2	2	1	3	2	2	3	3
FBgn0003116	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
FBgn0250862	2	1	2	1	1	2	2	2	2	2	2	2	2	2	2
FBgn0264307	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FBgn0038545	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1
FBgn0054015	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1
FBgn0034301	2	2	2	2	7	3	1	4	2	2	3	3	2	3	3
FBgn0002940	7	10	7	6	4	1	11	7	7	5	4	8	6	5	5
FBgn0031829	1	1	1	2	1	1	2	1	1	2	1	1	1	1	1
FBgn0038394	3	2	2	2	2	0	0	1	2	3	1	1	2	1	1
FBgn0003410	1	1	1	1	1	1	2	2	1	1	1	2	1	1	1
FBgn0002772	2	2	2	2	1	1	1	1	2	2	1	1	2	1	1
FBgn0034641	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FBgn0028996	3	2	3	2	3	3	2	2	3	3	3	2	3	3	3
FBgn0037050	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
FBgn0032850	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1
FBgn0039049	1	1	1	1	1	1	0	0	1	1	1	0	1	1	1
FBgn0010452	5	5	6	9	9	7	6	5	7	7	7	6	7	7	7
FBgn0036193	3	3	3	3	2	0	7	7	3	1	2	6	3	3	3
FBgn0004367	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FBgn0019650	2	3	2	2	2	1	2	2	2	2	2	2	2	2	2
FBgn0052029	5	5	5	4	4	3	3	3	5	4	4	3	5	4	4
FBgn0032940	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1
FBgn0053909	6	17	13	14	3	40	23	21	13	11	18	21	13	18	17
FBgn0039491	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1
FBgn0002531	1	2	2	2	5	1	3	3	2	3	3	3	2	3	3
FBgn0033460	3	1	2	2	1	1	1	1	2	1	1	1	2	1	1
FBgn0261362	4	4	4	8	5	6	2	1	4	2	4	2	4	4	4
FBgn0031700	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1
FBgn0034232	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1
FBgn0032398	2	2	2	3	2	2	1	2	2	2	2	2	2	2	2
FBgn0037816	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
FBgn0036839	5	4	5	5	7	7	4	7	5	4	6	6	5	6	6
FBgn0034763	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FBgn0017482	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1
FBgn0001321	1	1	1	1	1	1	1	2	1	0	1	1	1	1	1
FBgn0052000	3	3	3	5	3	3	3	3	3	3	3	3	3	3	3
FBgn0031738	3	3	3	4	7	7	3	3	3	3	5	3	3	4	4
FBgn0039879	1	0	1	0	1	0	1	0	1	0	1	1	1	1	1
FBgn0023517	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1
FBgn0025679	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FBgn0039302	1	2	2	3	3	2	1	2	2	2	2	2	2	2	2
FBgn0030309	2	2	2	2	1	1	1	1	2	1	1	1	2	1	1
FBgn0040285	1	0	1	2	1	1	1	2	1	1	1	1	1	1	1
FBgn0038890	1	1	1	2	4	1	1	1	2	2	2	1	2	2	2
FBgn0035854	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1
FBgn0025825	2	2	2	2	1	1	1	2	2	2	1	1	2	1	1
FBgn0034085	1	0	1	0	1	0	0	1	1	0	1	1	1	1	1
FBgn0032083	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
FBgn0034488	2	2	2	4	2	2	2	2	2	2	2	2	2	2	2
FBgn0015324	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
FBgn0038405	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2
FBgn0031454	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
FBgn0037206	1	2	1	1	0	0	1	0	1	1	0	1	1	1	1
FBgn0021767	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1
FBgn0036449	8	8	7	7	4	4	2	3	7	5	4	3	6	4	4
FBgn0052528	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FBgn0032857	2	2	2	2	1	1	1	1	2	1	1	1	2	1	1
FBgn0035987	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1
FBgn0036687	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
FBgn0030007	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
FBgn0025390	8	6	8	10	3	0	1	1	8	8	2	1	8	2	3
FBgn0033668	1	1	1	1	1	2	0	1	1	1	1	1	1	1	1
FBgn0032801	1	0	1	1	1	1	0	0	1	0	1	0	1	1	1
FBgn0039838	2	2	2	0	0	1	1	1	1	1	1	1	1	1	1
FBgn0086451	1	1	1	1	1	1	1	5	1	1	1	2	1	1	1
FBgn0039742	1	2	2	2	2	2	2	1	2	2	2	2	2	2	2
FBgn0002945	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
FBgn0029888	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1
FBgn0033203	4	4	4	4	3	4	2	2	4	6	3	2	4	3	3
FBgn0262728	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1
FBgn0262477	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FBgn0037680	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
FBgn0052183	1	3	2	2	4	3	1	1	2	3	3	1	2	2	2
FBgn0030590	2	1	2	1	7	6	10	6	2	2	6	7	2	6	6
FBgn0261575	3	2	2	1	1	2	3	3	2	2	2	3	2	2	2
FBgn0024986	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
FBgn0037671	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
FBgn0032781	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1
FBgn0038016	3	4	3	3	3	2	2	3	3	3	3	3	3	3	3
FBgn0038531	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1
FBgn0039227	3	3	3	7	1	1	1	1	3	4	1	1	3	1	1
FBgn0030433	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
FBgn0030026	3	3	3	3	3	4	3	6	3	3	4	4	3	4	4
FBgn0033405	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1
FBgn0030894	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
FBgn0001180	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
FBgn0035335	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
FBgn0037370	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1
FBgn0040153	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
FBgn0034730	1	0	1	0	2	0	1	1	1	2	1	1	1	1	1
FBgn0025697	3	0	2	3	3	2	4	1	2	2	2	2	2	2	2
FBgn0032120	1	1	1	2	1	1	1	3	1	1	1	1	1	1	1
FBgn0015372	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
FBgn0039402	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1
FBgn0051694	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
FBgn0260960	2	1	2	2	1	1	1	1	2	1	1	1	2	1	1
FBgn0011289	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1
FBgn0038195	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1
FBgn0011774	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
FBgn0040232	1	1	1	1	4	2	2	1	1	1	2	2	1	2	2
FBgn0263397	1	2	2	2	1	1	1	2	2	1	1	1	2	1	1
FBgn0036975	3	3	3	3	2	2	2	2	3	3	2	2	3	2	2
FBgn0001104	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1
FBgn0010044	1	1	1	3	1	0	1	0	2	2	1	1	2	1	1
FBgn0035521	1	1	1	0	1	1	2	1	1	1	1	1	1	1	1
FBgn0263934	0	0	0	1	1	1	0	0	1	1	1	0	1	1	1
FBgn0050011	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1
FBgn0010482	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
FBgn0028579	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
FBgn0015513	1	1	1	1	2	1	1	3	1	1	2	2	1	2	2
FBgn0052137	2	2	2	1	2	1	1	2	2	1	2	2	2	2	2
FBgn0004908	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2
FBgn0004859	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2
FBgn0032231	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
FBgn0013672	1	1	1	2	1	1	1	0	1	1	1	1	1	1	1
FBgn0030778	1	1	1	4	2	2	1	1	1	1	2	1	1	2	2
FBgn0038834	7	6	6	7	1	0	0	0	6	1	1	0	3	1	1
FBgn0024196	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1
FBgn0003275	2	1	1	1	1	6	1	1	1	1	1	1	1	1	1
FBgn0037071	0	0	0	0	1	1	1	1	0	2	1	1	1	1	1
FBgn0061492	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1
FBgn0032719	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
FBgn0052547	3	2	3	3	2	1	1	2	3	3	2	2	3	2	2
FBgn0053337	1	0	1	3	0	0	1	0	2	2	0	1	2	1	1
FBgn0035592	1	1	1	1	1	28	1	1	1	1	4	1	1	2	2
FBgn0004107	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
FBgn0020617	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
FBgn0030559	3	3	3	7	1	3	2	2	3	3	2	2	3	2	2
FBgn0036918	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FBgn0035524	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1
FBgn0034945	5	3	3	1	5	1	1	6	3	4	3	3	3	3	3
FBgn0037884	1	1	1	0	2	1	1	1	1	3	1	1	1	1	1
FBgn0062442	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FBgn0014903	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1
FBgn0035199	14	12	13	13	10	6	9	13	13	11	9	11	12	10	10
FBgn0033059	3	1	1	1	3	1	1	1	1	1	1	1	1	1	1
FBgn0033302	2	3	2	1	2	2	1	3	2	4	2	2	2	2	2
FBgn0026411	2	2	2	2	2	3	2	3	2	2	2	2	2	2	2
FBgn0066304	1	1	1	0	1	1	0	1	1	2	1	1	1	1	1
FBgn0034976	1	0	1	2	2	1	0	1	1	1	1	1	1	1	1
FBgn0035923	1	2	1	1	1	1	0	1	1	1	1	1	1	1	1
FBgn0027082	2	1	1	1	1	1	1	0	1	1	1	1	1	1	1
FBgn0033313	8	8	8	5	5	7	5	4	8	10	6	5	8	6	6
FBgn0260753	6	9	6	3	7	9	6	6	6	6	7	6	6	7	7
FBgn0033971	0	0	0	0	0	0	1	4	0	1	0	1	1	1	1
FBgn0015777	0	1	1	1	1	1	2	1	1	2	1	1	1	1	1
FBgn0033183	2	1	2	3	1	1	1	1	2	1	1	1	2	1	1
FBgn0030228	1	2	2	3	2	2	2	1	2	2	2	2	2	2	2
FBgn0032042	2	2	2	1	3	2	1	2	2	2	2	2	2	2	2
FBgn0023388	3	3	3	1	2	1	1	1	3	4	2	1	3	2	2
FBgn0032486	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
FBgn0031877	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
FBgn0033062	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1
FBgn0040294	5	8	8	9	6	17	3	3	8	8	8	3	8	7	7
FBgn0032248	3	0	1	1	1	1	1	1	1	1	1	1	1	1	1
FBgn0032643	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2
FBgn0026441	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
FBgn0024814	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FBgn0261262	2	2	2	3	2	2	1	1	2	2	2	1	2	2	2
FBgn0031356	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
FBgn0011591	1	2	1	1	1	3	1	1	1	1	1	1	1	1	1
FBgn0004574	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
FBgn0025687	1	1	1	2	2	1	4	1	1	1	2	2	1	2	2
FBgn0032363	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1
FBgn0053513	3	3	4	7	6	9	4	7	6	9	7	6	7	7	7
FBgn0003091	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1
FBgn0259822	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
FBgn0040206	4	4	4	5	3	1	3	2	4	5	3	3	4	3	3
FBgn0033075	5	5	5	8	5	7	5	5	6	6	6	5	6	6	6
FBgn0020912	2	1	2	2	1	1	2	2	2	2	1	2	2	2	2
FBgn0036059	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1
FBgn0032031	0	0	0	1	0	0	1	0	1	1	0	1	1	1	1
FBgn0035734	2	2	2	1	0	0	0	1	2	3	0	1	2	1	1
FBgn0037408	6	4	5	5	5	4	4	5	5	4	5	5	5	5	5
FBgn0263109	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
FBgn0039875	2	2	2	2	4	4	2	5	2	2	3	3	2	3	3
FBgn0265351	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1
FBgn0014032	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1
FBgn0034753	3	3	3	2	2	4	5	2	3	3	3	3	3	3	3
FBgn0250815	6	7	6	6	0	0	3	5	6	6	0	3	6	3	3
FBgn0016726	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
FBgn0013765	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
FBgn0039827	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1
FBgn0037332	1	1	1	2	1	1	0	1	1	1	1	1	1	1	1
FBgn0005596	2	1	1	0	1	1	1	1	1	1	1	1	1	1	1
FBgn0030528	1	0	1	1	0	0	1	1	1	0	0	1	1	1	1
FBgn0037312	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1
FBgn0033247	2	2	2	2	1	1	1	1	2	2	1	1	2	1	1
FBgn0036121	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1
FBgn0030734	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1
FBgn0035936	1	1	1	1	2	2	1	2	1	0	2	2	1	2	2
FBgn0260005	4	3	3	3	5	3	1	4	3	2	3	3	3	3	3
FBgn0085397	0	1	1	0	0	0	1	3	1	0	0	1	1	1	1
FBgn0035469	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1
FBgn0005666	8	4	6	8	5	3	4	2	6	6	4	3	6	4	4
FBgn0259713	0	0	0	0	0	0	1	0	0	1	0	1	1	1	1
FBgn0265045	10	3	4	4	6	5	2	4	4	3	4	3	4	4	4
FBgn0010246	2	3	3	4	2	3	2	2	3	3	2	2	3	2	2
FBgn0010197	2	1	1	1	1	2	1	1	1	2	1	1	1	1	1
FBgn0034083	2	1	2	2	1	1	2	2	2	2	1	2	2	2	2
FBgn0031726	6	8	6	5	10	3	7	8	6	7	6	7	6	6	6
FBgn0032513	2	2	2	2	1	2	1	1	2	2	2	1	2	2	2
FBgn0041105	1	1	1	0	1	1	1	0	1	0	1	1	1	1	1
FBgn0026404	17	12	14	13	6	5	5	5	14	16	6	5	14	7	8
FBgn0024912	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1
FBgn0024182	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1
FBgn0037796	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
FBgn0031549	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1
FBgn0031534	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
FBgn0051719	4	3	4	4	3	3	3	2	4	3	3	3	4	3	3
FBgn0038235	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1
FBgn0011653	1	1	1	2	2	2	2	2	2	3	2	2	2	2	2
FBgn0259143	0	0	0	0	1	1	1	1	0	1	1	1	1	1	1
FBgn0040337	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1
FBgn0028554	1	1	1	2	2	2	2	3	1	1	2	2	1	2	2
FBgn0030151	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
FBgn0020236	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
FBgn0030789	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2
FBgn0037537	13	8	11	12	5	7	6	4	11	13	6	5	11	6	7
FBgn0010433	3	3	3	3	3	2	2	2	3	4	2	2	3	2	2
FBgn0036337	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2
FBgn0035917	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1
